Density	GenerationsToStabilize
0,1	99
0,2	226
0,3	648
0,4	368
0,5	852



Generation	Density0.1	Density0.3	Density0.5
123		85	133	95	77
124		81	127	88	62
125		89	134	87	61
126		77	140	73	62
127		80	156	70	60
128		76	137	80	66
129		83	143	72	62
130		83	132	90	72
131		89	124	72	61
132		80	135	94	52
133		67	121	80	63
134		81	124	89	59
135		60	122	85	62
136		53	118	98	58
137		54	123	75	56
138		55	121	64	61
139		56	101	67	55
140		55	96	69	65
141		56	81	82	64
142		59	82	75	57
143		58	80	67	59
144		65	79	76	68
145		58	80	71	73
146		59	81	60	81
147		58	82	65	83
148		60	79	64	75
149		58	84	66	75
150		58	89	57	80
151		62	99	62	68
152		65	95	59	67
153		65	97	57	79
154		69	91	54	71
155		59	90	57	74
156		59	86	58	69
157		60	77	60	62
158		62	74	64	51
159		64	79	61	50
160		66	76	66	57
161		70	77	75	56
162		68	73	75	53
163		71	72	70	57
164		76	76	75	55
165		73	69	78	58
166		75	73	74	57
167		78	74	73	67
168		78	71	67	71
169		83	70	65	64
170		82	77	66	74
171		92	75	64	76
172		70	75	65	75
173		63	74	58	79
174		63	75	55	71
175		60	85	55	73
176		64	71	63	75
177		66	79	62	78
178		71	74	69	78
179		76	74	63	72
180		83	77	63	68
181		70	80	57	70
182		74	70	58	72
183		67	79	56	76
184		67	68	59	75
185		69	69	61	67
186		73	70	67	74
187		77	75	69	68
188		77	79	66	73
189		79	79	59	74
190		76	81	66	80
191		79	78	61	76
192		89	86	60	84
193		80	80	66	90
194		81	84	61	78
195		71	80	57	85
196		79	79	60	82
197		71	80	59	91
198		76	78	60	80
199		69	85	70	80
200		73	84	70	78
201		71	86	76	85
202		71	89	74	65
203		71	82	66	70
204		72	85	69	71
205		73	80	68	69
206		74	89	68	68
207		79	84	71	70
208		81	102	81	66
209		78	88	78	66
210		78	89	80	65
211		75	96	67	77
212		74	103	73	71
213		73	107	75	93
214		77	86	71	66
215		78	96	80	78
216		75	97	68	77
217		89	101	72	78
218		64	110	71	73
219		57	121	78	78
220		54	91	84	67
221		55	89	71	75
222		55	85	66	67
223		55	88	55	69
224		55	90	49	64
225		55	87	60	69
226		55	92	56	71
227			78	62	72
228			80	53	85
229			83	60	80
230			79	57	85
231			79	64	90
232			83	60	78
233			73	67	91
234			78	70	93
235			81	59	82
236			101	50	79
237			74	52	77
238			90	55	78
239			77	53	78
240			86	48	78
241			76	57	67
242			76	51	68
243			67	55	67
244			71	47	69
245			67	55	70
246			80	58	68
247			73	66	78
248			75	65	79
249			63	68	85
250			72	63	98
251			60	66	94
252			67	64	101
253			57	83	111
254			63	63	109
255			52	66	105
256			55	66	100
257			59	66	91
258			72	66	86
259			69	64	85
260			65	55	97
261			77	61	94
262			70	60	109
263			79	72	104
264			76	65	113
265			89	67	110
266			86	67	125
267			101	54	101
268			93	56	114
269			95	58	114
270			103	59	129
271			93	59	110
272			92	63	126
273			80	61	135
274			78	66	137
275			85	62	130
276			85	65	121
277			100	52	130
278			80	55	114
279			97	52	118
280			74	60	131
281			84	57	117
282			73	61	127
283			74	62	108
284			78	67	110
